adp_rank,player_name,position,team,sleeper_id,age,years_exp
287,Nick Chubb,RB,,4988,30.0,8
288,Craig Reynolds,RB,,6659,29.0,7
289,D'Onta Foreman,RB,,4111,28.0,8
290,Darren Waller,TE,,2505,33.0,11
291,Tanner Morgan,QB,,11214,24.0,1
292,Mac Jones,QB,SF,7527,27.0,5
293,Diontae Johnson,WR,,5937,29.0,6
294,Tyree Jackson,TE,,6040,28.0,7
295,Chase Edmonds,RB,,5000,29.0,8
296,Jose Barbon,WR,,11504,23.0,1
297,Anthony Richardson,QB,IND,9229,24.0,3
298,Brett Hundley,QB,,2450,29.0,8
299,Brian Cobbs,WR,,11502,23.0,1
300,Scotty Washington,WR,,7237,28.0,6
301,Jamaal Williams,RB,,4149,29.0,8
302,Kevin Hogan,QB,,3318,30.0,7
303,Connor Davis,TE,,7503,27.0,2
304,Zack Moss,RB,,6845,27.0,5
305,Geno Smith,QB,NYJ,1373,35.0,13
306,Quinn Nordin,K,,8040,24.0,2
307,Noah Gindorff,TE,,11225,24.0,1
308,Russell Wilson,QB,,1234,37.0,14
309,DeShon Williams,TE,,8102,,1
310,Colt McCoy,QB,,533,36.0,13
311,Ryan Succop,K,,391,36.0,14
312,Zach Ertz,TE,,1339,35.0,13
313,Avery Davis,WR,,11544,24.0,1
314,Alex Kessman,K,CAR,7933,24.0,1
315,Malik Flowers,WR,,11192,24.0,1
316,Josh Imatorbhebhe,WR,,8008,23.0,1
317,James White,RB,,1848,30.0,8
318,Logan Woodside,QB,,5128,30.0,8
319,Tucker McCann,K,,7446,24.0,2
320,Anthony McFarland,RB,,6878,25.0,4
321,Jack Sorenson,WR,,8420,25.0,1
322,MyCole Pruitt,TE,,2446,32.0,10
323,Gavin Holmes,WR,,11478,24.0,1
324,Max Borghi,RB,,8218,22.0,1
325,Jalen Sample,WR,,11158,24.0,1
326,Ethan Fernea,WR,,8831,26.0,2
327,Miles Sanders,RB,,6151,28.0,7
328,Eric Tomlinson,TE,,2755,32.0,10
329,Camerun Peoples,RB,,10211,23.0,1
330,Ryan Griffin,QB,,1550,33.0,10
331,Trey Ragas,RB,,7993,25.0,1
332,Dustin Crum,QB,,8212,24.0,1
333,Peter LeBlanc,WR,,12373,23.0,1
334,Jared Cook,TE,,367,35.0,13
335,Kadarius Toney,WR,,7606,25.0,3
336,Mike Williams,WR,,4068,30.0,8
337,Bennie Fowler,WR,,2003,30.0,8
338,Aaron Dykes,RB,,11548,,1
339,Aaron Fuller,WR,,6967,24.0,2
340,Jermaine Burton,WR,,11640,24.0,1
341,Zach Mathis,WR,,12168,24.0,1
342,Aron Cruickshank,WR,,11267,22.0,1
343,Tayon Fleet-Davis,RB,,8707,,1
344,Leon Johnson,WR,,11863,23.0,1
345,Jacob Hollister,TE,,4421,30.0,7
346,David Bell,WR,,8118,24.0,3
347,Ventell Bryant,WR,,6628,25.0,3
348,Duece Watts,WR,,11204,24.0,1
349,Isaiah Coulter,WR,,7085,24.0,3
350,Sam Ficken,K,,3909,30.0,7
351,Zach Heins,TE,,11864,24.0,1
352,Alex Quevedo,K,,10858,24.0,1
353,Josh Rosen,QB,,4863,25.0,5
354,Elijah Collins,RB,,12066,24.0,1
355,Isaac Rex,TE,,12126,26.0,1
356,A.J. Rose,RB,,7918,24.0,1
357,AJ McCarron,QB,,1895,33.0,10
358,Kirk Merritt,WR,,7351,26.0,3
359,Holton Ahlers,QB,,11216,23.0,1
